story_id,entity,type
2137,"Mayon",LOCATION
2137,"Philippines",LOCATION
274,"Colombias Pacific Coast",ORGANIZATION
274,"Zulia",LOCATION
274,"Medellin",LOCATION
274,"Norte de Santander",ORGANIZATION
274,"Catatumbo",LOCATION
274,"Colombia",LOCATION
2170,"Buenos Aires",LOCATION
2170,"Quilmes",ORGANIZATION
2170,"Argentina",LOCATION
2170,"Ensenada",LOCATION
2170,"Berisso",LOCATION
2170,"Plata River",LOCATION
2170,"Formosa",LOCATION
2170,"San Fernando",LOCATION
2170,"Rio de la Plata",LOCATION
2170,"Chaco",LOCATION
2170,"Tigre",LOCATION
2170,"Lujan",PERSON
2170,"Argentine Cabinet",ORGANIZATION
2170,"La Matanza",LOCATION
2170,"Corrientes",ORGANIZATION
2170,"Misiones",LOCATION
2198,"Japan",LOCATION
2198,"Tokyo",LOCATION
2198,"Okinawa",LOCATION
3255,"Japan",LOCATION
3255,"Okinawa",LOCATION
3594,"Honshu",LOCATION
3594,"NHK",ORGANIZATION
3594,"Wakayama",LOCATION
3594,"Pacific",LOCATION
3594,"Japan",LOCATION
3594,"Japan Meteorological Agency",ORGANIZATION
39,"Brunei",LOCATION
39,"Taiwan",LOCATION
39,"China",LOCATION
39,"Spratlys",ORGANIZATION
39,"Malaysia",LOCATION
39,"Philippines",LOCATION
39,"South China Sea",LOCATION
39,"Vietnam",LOCATION
39,"Manila",LOCATION
39,"Scarborough Shoal",PERSON
1547,"Nancy Gibbs",PERSON
1547,"West Africa",LOCATION
1547,"Time magazine",ORGANIZATION
1547,"Time",ORGANIZATION
3072,"Beijing",LOCATION
3072,"Taiwan",LOCATION
3072,"Taipei",LOCATION
3072,"China",LOCATION
3072,"Zhang Zhijun",PERSON
3072,"Beijings Taiwan Affairs Office",ORGANIZATION
1694,"Yatseniuk",PERSON
1694,"interior ministry",ORGANIZATION
1694,"Viktor Yanukovych",PERSON
3019,"Yatseniuk",PERSON
3019,"Ukraine",LOCATION
3019,"Kiev",LOCATION
3019,"Arseny Yatseniuk",PERSON
691,"North Sinai",LOCATION
691,"Jerusalem",LOCATION
691,"Ansar Beit al-Maqdis",LOCATION
691,"Sinai Peninsula",LOCATION
691,"el-Arish",LOCATION
2068,"Abdel Fattah al-Sisi",PERSON
2068,"Ibrahim Mehleb",PERSON
2068,"Egypt",LOCATION
2068,"Mehleb",PERSON
2068,"Sisi",PERSON
255,"Arabian Peninsula",LOCATION
255,"Yemen",LOCATION
2923,"Brunei",LOCATION
2923,"Taiwan",LOCATION
2923,"China",LOCATION
2923,"Malaysia",LOCATION
2923,"Philippines",LOCATION
2923,"South China Sea",LOCATION
2923,"Vietnam",LOCATION
1105,"Central African Republic",LOCATION
1105,"Mahamat Kamoun",PERSON
3628,"Central African Republic",LOCATION
3628,"Mahamat Kamoun",PERSON
3628,"Catherine Samba-Panza",PERSON
3688,"African Republic",LOCATION
3688,"Catherine Samba Panza",PERSON
3688,"Central African Republic",LOCATION
3688,"Mahamat Kamoun",PERSON
3688,"Seleka",LOCATION
3689,"Central African Republic",LOCATION
3689,"Mahamat Kamoun",PERSON
3408,"Sharmarke",PERSON
3408,"Somalia",LOCATION
3408,"Omar Abdirashid Ali Sharmarke",PERSON
866,"Europe",LOCATION
866,"Interfax",ORGANIZATION
866,"Ukraine",LOCATION
866,"West",LOCATION
866,"Russia",LOCATION
866,"Baltic states",LOCATION
866,"Moscow",LOCATION
866,"NATO",ORGANIZATION
866,"Soviet Union",LOCATION
866,"Alexei Meshkov",PERSON
3323,"Joice Mujuru",PERSON
3323,"Mujuru",PERSON
3323,"Mugabe",PERSON
3323,"Zimbabwe",LOCATION
2948,"EU",ORGANIZATION
2948,"European Union",ORGANIZATION
2948,"Ghana",LOCATION
2948,"William Hanna",PERSON
3325,"Castro",PERSON
3325,"Cuba",LOCATION
3325,"Raul Castro",PERSON
3325,"Americas",LOCATION
3325,"Havana",LOCATION
3325,"Panama",LOCATION
3325,"US",LOCATION
3325,"Obama",PERSON
1444,"EU",ORGANIZATION
1444,"UN",ORGANIZATION
1444,"World Bank",ORGANIZATION
1444,"Bosnia",LOCATION
1444,"Balkans",LOCATION
3469,"Mikhail Myasnikovich",PERSON
3469,"Lukashenko",PERSON
3469,"Alexander Lukashenko",PERSON
3469,"Andrei Kobyakov",PERSON
3469,"Russia",LOCATION
44,"Jamaica",LOCATION
44,"San Juan",LOCATION
44,"Kevin Harvey",PERSON
44,"Puerto Rico",LOCATION
44,"US",LOCATION
44,"Caribbean",LOCATION
44,"Ana Rius",PERSON
589,"Development Initiatives",ORGANIZATION
589,"Coppard",PERSON
865,"Cabinet Office",ORGANIZATION
865,"Harbaling",LOCATION
865,"China",LOCATION
865,"Tokyo",LOCATION
865,"Japan",LOCATION
865,"AFP",ORGANIZATION
1908,"Guinea",LOCATION
1908,"UNICEF",ORGANIZATION
1908,"Global Business Coalition for Education",ORGANIZATION
1908,"Sierra Leone",LOCATION
1908,"Liberia",LOCATION
2472,"Syria",LOCATION
2472,"Philippines",LOCATION
2472,"Haiyan",PERSON
2472,"Global Humanitarian Assistance",ORGANIZATION
3030,"Mexico",LOCATION
3030,"Central America",LOCATION
3030,"El Salvador",LOCATION
3030,"Nicaragua",LOCATION
3030,"Honduras",LOCATION
3030,"Mesoamerican Coalition for the Reproductive Rights of Women",ORGANIZATION
3030,"Women and Health Initiative of Harvard School of Public Health",ORGANIZATION
3174,"Joint UN Programme",ORGANIZATION
3174,"UNAIDS",ORGANIZATION
3285,"Sisai",LOCATION
3285,"Gopalganj",LOCATION
3285,"Rajendra Manjhi",PERSON
3285,"Bihar",LOCATION
3285,"Kanti Devi",PERSON
1583,"WHO",ORGANIZATION
1583,"Sierra Leone",LOCATION
1769,"Mogadishu",LOCATION
1769,"Somalia",LOCATION
1769,"Siad Barre",PERSON
1769,"Saado Ali Warsame",PERSON
1287,"Liberia",LOCATION
1287,"Canada",LOCATION
1287,"Guinea",LOCATION
1287,"Sierra Leone",LOCATION
1287,"Public Health Agency of Canada",ORGANIZATION
1287,"Kailahun",LOCATION
3354,"Koidu",LOCATION
